Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
2018-06-27 12:01:05, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.92, 39.21, 34.60, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:06, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.24, 39.08, 39.15, 34.63, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:07, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.24, 38.96, 39.16, 34.67, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:08, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.95, 39.20, 34.63, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:09, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.91, 39.05, 34.53, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 12:01:10, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.95, 39.15, 34.53, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 12:01:11, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.25, 38.92, 39.01, 34.52, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:12, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.24, 38.94, 39.12, 34.51, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:13, 0.00, 0.18, 0.00, 1.47, 0.00, 0.00, 1.00, inf, 0.00, 12.24, 38.87, 39.08, 34.56, 0.00, -0.20, 0.00, 10.00, 0.00
2018-06-27 12:01:14, 0.00, 0.18, 0.00, 1.47, 0.00, 0.00, 1.00, inf, 0.00, 12.25, 38.91, 39.08, 34.60, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:15, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.18, 38.88, 39.09, 34.55, 0.00, -0.25, 16.00, 10.00, 0.00
2018-06-27 12:01:16, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.73, 39.08, 34.45, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:17, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.27, 38.80, 39.02, 34.52, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:18, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.82, 39.12, 34.52, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:19, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.24, 38.85, 39.00, 34.52, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:20, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.76, 39.02, 34.47, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:21, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.84, 39.03, 34.47, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:22, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.25, 38.78, 39.05, 34.35, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 12:01:23, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.25, 38.70, 38.98, 34.42, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:24, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.70, 38.95, 34.40, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 12:01:25, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.72, 39.01, 34.38, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:26, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.25, 38.71, 39.05, 34.27, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:27, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.67, 38.94, 34.34, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:28, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.70, 39.03, 34.40, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:29, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.69, 38.95, 34.40, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:30, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.24, 38.64, 39.00, 34.29, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:31, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.67, 38.95, 34.35, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:32, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.24, 38.72, 39.00, 34.38, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:33, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.64, 38.98, 34.29, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:34, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.27, 38.66, 38.94, 34.35, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:35, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.64, 38.98, 34.27, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 12:01:36, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.24, 38.63, 38.98, 34.30, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 12:01:37, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.62, 38.94, 34.29, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:38, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.25, 38.65, 39.01, 34.30, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:39, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.70, 39.08, 34.24, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 12:01:40, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.25, 38.59, 39.03, 34.35, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:41, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.25, 38.70, 38.91, 34.38, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:42, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.55, 38.96, 34.23, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:43, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.65, 38.89, 34.32, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:44, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.24, 38.63, 38.90, 34.31, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 12:01:45, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.64, 38.96, 34.27, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:46, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.27, 38.63, 38.90, 34.20, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:47, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.24, 38.60, 38.88, 34.23, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:48, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.22, 38.52, 38.87, 34.22, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 12:01:49, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.24, 38.63, 38.82, 34.25, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:51, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.25, 38.62, 38.80, 34.24, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:52, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.22, 38.51, 38.80, 34.25, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 12:01:53, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.54, 38.85, 34.22, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:54, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.49, 38.84, 34.22, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:55, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.27, 38.54, 38.80, 34.13, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:56, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.25, 38.53, 38.78, 34.22, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:57, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.45, 38.84, 34.23, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:58, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.25, 38.48, 38.82, 34.11, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:01:59, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.51, 38.87, 34.16, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:02:00, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.27, 38.44, 38.77, 34.25, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:02:01, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.48, 38.82, 34.14, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 12:02:02, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.45, 38.80, 34.12, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 12:02:03, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.33, 38.72, 34.16, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 12:02:04, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.44, 38.72, 34.20, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:02:05, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.25, 38.40, 38.63, 34.18, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:02:06, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.27, 38.41, 38.64, 34.23, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:02:07, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.35, 38.65, 34.18, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:02:08, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.41, 38.64, 34.20, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:02:09, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.26, 38.36, 38.62, 34.12, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:02:10, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.25, 38.35, 38.70, 34.13, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 12:02:11, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.24, 38.38, 38.63, 34.09, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:02:12, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.38, 38.71, 34.11, 0.00, -0.21, 16.00, 10.00, 0.00
2018-06-27 12:02:13, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.25, 38.30, 38.66, 34.11, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:02:14, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.27, 38.31, 38.64, 34.11, 0.00, -0.20, 16.00, 10.00, 0.00
2018-06-27 12:02:15, 0.00, 0.18, 0.00, 1.47, 0.00, 1.00, 1.00, inf, 0.00, 12.23, 38.30, 38.65, 34.09, 0.00, -0.20, 16.00, 10.00, 0.00
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
1970-01-01 00:00:01, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.69, 35.91, 31.55, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:02, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.55, 35.91, 31.45, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:03, 0.00, 0.00, 0.00, 0.26, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.64, 35.93, 31.41, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:04, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.62, 35.83, 31.55, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:05, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.65, 35.86, 31.53, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:06, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.31, 35.64, 35.94, 31.52, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:07, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.28, 35.59, 35.94, 31.47, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:08, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.62, 35.91, 31.44, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:09, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.28, 35.63, 35.87, 31.53, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:10, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.28, 35.62, 35.87, 31.53, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:11, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.58, 35.86, 31.48, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:12, 0.00, 0.00, 0.00, 0.25, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.59, 35.84, 31.59, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:13, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.58, 35.94, 31.51, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:14, 0.00, 0.00, 0.00, 0.27, 0.00, 1.00, 1.00, 0.00, 0.00, 12.30, 35.55, 35.88, 31.55, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:15, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.28, 35.57, 35.91, 31.48, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:16, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.62, 35.88, 31.47, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:17, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.59, 35.87, 31.55, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:18, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.55, 35.91, 31.39, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:19, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.62, 35.88, 31.51, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:20, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.59, 35.94, 31.46, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:21, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.55, 35.93, 31.48, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:22, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.57, 36.00, 31.52, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:23, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.28, 35.55, 35.86, 31.55, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:24, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.53, 35.96, 31.45, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:25, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.51, 35.87, 31.55, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:26, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.59, 35.94, 31.53, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:27, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.48, 35.88, 31.55, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:28, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.55, 35.94, 31.52, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:29, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.52, 35.93, 31.51, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:30, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.28, 35.58, 35.89, 31.58, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:31, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.53, 35.94, 31.53, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:32, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.52, 35.87, 31.46, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:33, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.55, 35.89, 31.48, 0.00, -0.39, 16.00, 10.00, 0.00
1970-01-01 00:00:34, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.55, 35.95, 31.57, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:35, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.28, 35.52, 35.91, 31.51, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:36, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.55, 35.88, 31.55, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:37, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.46, 35.91, 31.48, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:38, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.25, 35.44, 35.88, 31.49, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:39, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.45, 35.77, 31.51, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:41, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.48, 35.84, 31.48, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:42, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.46, 35.89, 31.45, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:43, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.40, 35.80, 31.38, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:44, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.28, 35.45, 35.73, 31.42, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:45, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.44, 35.78, 31.44, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:46, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.45, 35.78, 31.40, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:47, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.26, 35.39, 35.82, 31.38, 0.00, -0.20, 16.00, 10.00, 0.00
1970-01-01 00:00:48, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.27, 35.33, 35.73, 31.36, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:49, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.38, 35.71, 31.40, 0.00, -0.21, 16.00, 10.00, 0.00
1970-01-01 00:00:50, 0.00, 0.00, 0.00, 1.47, 0.00, 1.00, 1.00, 0.00, 0.00, 12.24, 35.38, 35.75, 31.29, 0.00, -0.20, 16.00, 10.00, 0.00
